gene	n_genes
ILF3	11604
ILK	183
IRF1	103
IRF2	76
IRF9	20
JUN	748
JUNB	763
JUND	1543
KAT2B	477
KAT8	221
KDM1A	12483
KDM4B	9020
KDM5B	10847
KLF1	1687
KLF10	8
KLF13	1458
KLF16	240
KLF6	168
L3MBTL2	12399
LDB1	1420
LEF1	214
MAFF	370
MAFG	529
MAFK	74
MAX	591
MAZ	12431
MBD2	3166
MCM2	72
MCM3	1276
MCM5	334
MCM7	71
MED1	792
MEF2A	117
MEF2D	380
MEIS2	129
MGA	60
MIER1	3427
MITF	1306
MLLT1	9010
MNT	3993
MORC2	562
MTA1	4882
MTA2	7432
MTA3	13567
MXI1	538
MYB	1040
MYC	1018
MYNN	58
NBN	7643
NCOA1	6807
NCOA4	232
NCOR1	5770
NELFA	11281
NELFE	16594
NEUROD1	284
NFATC3	2373
NFE2	522
NFE2L2	11296
NFIA	1398
NFIC	2739
NFIX	239
NFRKB	5953
NFXL1	618
NFYA	794
NFYB	1591
NONO	7505
NR2C1	234
NR2C2	1014
NR2F1	1074
NR2F2	9547
NR2F6	5
NR3C1	213
NR4A1	368
NRF1	759
NSD2	618
NUFIP1	82
PATZ1	74
PAX8	7
PBX2	26
PCBP1	8515
PCBP2	739
PHB2	595
PHF20	5093
PHF21A	910
PHF8	10459
PKNOX1	344
PLAG1	206
PML	9898
PRDM10	5507
PRMT5	255
PRPF4	4963
PTBP1	4830
PTRF	355
PTTG1	329
RAD21	7282
RAD51	2910
RB1	10803
RBBP5	9976
RBFOX2	10016
RBM14	3257
RBM15	53
RBM22	10660
RBM25	6743
RBM39	6321
RCOR1	3480
RELA	876
REST	91
RFX1	1288
RFX5	147
RLF	1674
RNF2	10044
RREB1	25
RUNX1	386
SAFB	3149
SAFB2	114
SAP30	7738
SETDB1	6243
SHOX2	201
SIN3A	10466
SIN3B	4820
SIRT6	1904
SIX5	926
SKIL	7212
SMAD1	712
SMAD2	4
SMAD5	1149
SMARCA4	12849
SMARCA5	3580
SMARCB1	323
SMARCC2	2232
SMARCE1	8897
SMC3	5039
SNIP1	666
SNRNP70	683
SOX6	4065
SP1	1701
SP2	1108
SPI1	378
SREBF1	987
SRF	25
SRSF1	1273
SRSF3	7146
SRSF4	860
SRSF7	81
SRSF9	6
STAG1	1927
STAT1	30
STAT2	23
STAT5A	963
SUZ12	2062
TAF1	2024
TAF15	1558
TAF7	5236
TAF9B	3209
TAL1	61
TARDBP	11947
TBL1XR1	5645
TBP	651
TBX18	1170
TCF12	1959
TCF3	4010
TCF7	4
TCFL5	84
TEAD1	128
TEAD2	25
TFDP1	515
THAP1	19
THRA	5
THRAP3	427
TOP2A	57
TP53	274
TRIM24	6569
TRIM28	5441
TRIP13	241
TSC22D4	13
TSHZ1	308
U2AF1	3241
UBTF	10174
USF1	799
USF2	171
VEZF1	4515
WDR5	2615
XRCC5	13359
YBX1	17
YBX3	436
YY1	8051
ZBED1	29
ZBTB11	5260
ZBTB12	2080
ZBTB2	1322
ZBTB33	1011
ZBTB40	9720
ZBTB5	1032
ZBTB7A	3609
ZC3H11A	1100
ZEB2	6106
ZFP36	9636
ZFX	824
ZKSCAN1	2866
ZMIZ1	6324
ZMYM3	3702
ZNF12	3906
ZNF133	13
ZNF134	425
ZNF143	651
ZNF148	5700
ZNF165	763
ZNF174	7
ZNF175	115
ZNF18	125
ZNF184	1670
ZNF215	1192
ZNF23	75
ZNF239	2231
ZNF24	9894
ZNF257	637
ZNF263	10060
ZNF274	79
ZNF281	3822
ZNF282	2196
ZNF3	3897
ZNF311	558
ZNF316	1809
ZNF318	1172
ZNF324	158
ZNF354B	107
ZNF384	3357
ZNF395	763
ZNF397	605
ZNF407	1307
ZNF408	37
ZNF41	200
ZNF410	30
ZNF436	124
ZNF444	459
ZNF507	1497
ZNF512	1259
ZNF589	323
ZNF592	4768
ZNF639	8411
ZNF644	946
ZNF696	132
ZNF740	1169
ZNF75A	703
ZNF76	118
ZNF764	84
ZNF77	37
ZNF79	487
ZNF83	527
ZNF830	697
ZSCAN29	73
ZZZ3	839
