gene	n_tfs
ENSG00000246889	73
ENSG00000254469	73
ENSG00000284922	78
ENSG00000186635	78
ENSG00000260401	43
ENSG00000054965	72
ENSG00000021300	75
ENSG00000175581	45
ENSG00000168014	75
ENSG00000214517	67
ENSG00000255440	39
ENSG00000264402	62
ENSG00000166439	55
ENSG00000118363	74
ENSG00000149273	40
ENSG00000255135	40
ENSG00000078124	45
ENSG00000074201	73
ENSG00000149262	141
ENSG00000188997	97
ENSG00000137502	102
ENSG00000246067	106
ENSG00000165494	39
ENSG00000255234	38
ENSG00000171204	63
ENSG00000171202	31
ENSG00000254699	84
ENSG00000166012	104
ENSG00000284057	93
ENSG00000182919	114
ENSG00000150316	71
ENSG00000263465	73
ENSG00000087053	73
ENSG00000266192	72
ENSG00000183340	63
ENSG00000255679	68
ENSG00000255282	114
ENSG00000137760	88
ENSG00000166323	29
ENSG00000178202	119
ENSG00000110723	68
ENSG00000086827	113
ENSG00000076043	60
ENSG00000110274	38
ENSG00000278376	68
ENSG00000110375	82
ENSG00000256269	77
ENSG00000110002	53
ENSG00000149547	108
ENSG00000134910	102
ENSG00000110060	63
ENSG00000280832	73
ENSG00000151500	69
ENSG00000151498	54
ENSG00000120647	120
ENSG00000255825	47
ENSG00000171823	55
ENSG00000006831	64
ENSG00000285627	93
ENSG00000010219	115
ENSG00000111254	40
ENSG00000159335	91
ENSG00000111667	93
ENSG00000272173	79
ENSG00000139194	92
ENSG00000171860	88
ENSG00000139187	45
ENSG00000111269	40
ENSG00000111276	60
ENSG00000256658	116
ENSG00000178878	84
ENSG00000213782	71
ENSG00000084444	94
ENSG00000060982	72
ENSG00000255921	94
ENSG00000278095	84
ENSG00000177340	62
ENSG00000139146	70
ENSG00000233381	111
ENSG00000276058	92
ENSG00000151743	51
ENSG00000276900	99
ENSG00000256843	104
ENSG00000087470	68
ENSG00000180116	147
ENSG00000111371	142
ENSG00000258096	139
ENSG00000257261	110
ENSG00000179715	100
ENSG00000247774	89
ENSG00000257433	65
ENSG00000174243	119
ENSG00000257346	82
ENSG00000123416	86
ENSG00000186897	71
ENSG00000123268	88
ENSG00000110925	83
ENSG00000182544	46
ENSG00000135476	107
ENSG00000094914	89
ENSG00000270175	65
ENSG00000139546	84
ENSG00000123415	86
ENSG00000257596	59
ENSG00000094916	38
ENSG00000123405	134
ENSG00000258311	39
ENSG00000135441	35
ENSG00000258056	85
ENSG00000135414	90
ENSG00000182796	88
ENSG00000170473	98
ENSG00000111540	93
ENSG00000257449	76
ENSG00000197728	66
ENSG00000170515	82
ENSG00000229117	65
ENSG00000135482	57
ENSG00000139641	109
ENSG00000196465	111
ENSG00000092841	73
ENSG00000144785	94
ENSG00000110944	68
ENSG00000110958	84
ENSG00000196531	87
ENSG00000198056	92
ENSG00000025423	76
ENSG00000166886	68
ENSG00000139269	89
ENSG00000166986	94
ENSG00000208028	75
ENSG00000175203	73
ENSG00000037897	118
ENSG00000175215	93
ENSG00000245651	88
ENSG00000273805	94
ENSG00000257698	116
ENSG00000166896	114
ENSG00000284360	51
ENSG00000135655	78
ENSG00000184575	143
ENSG00000256670	89
ENSG00000153179	47
ENSG00000256915	72
ENSG00000139233	84
ENSG00000239335	115
ENSG00000228144	100
ENSG00000155957	152
ENSG00000135679	77
ENSG00000090382	9
ENSG00000257815	126
ENSG00000111596	116
ENSG00000133858	101
ENSG00000173451	77
ENSG00000111615	96
ENSG00000257557	108
ENSG00000133773	96
ENSG00000133641	60
ENSG00000198707	43
ENSG00000139324	78
ENSG00000258125	21
ENSG00000133639	93
ENSG00000245904	94
ENSG00000257512	65
ENSG00000257252	49
ENSG00000198015	64
ENSG00000028203	26
ENSG00000111142	92
ENSG00000111144	82
ENSG00000257167	73
ENSG00000111666	86
ENSG00000120860	118
ENSG00000214198	95
ENSG00000204954	81
ENSG00000139372	91
ENSG00000111727	77
ENSG00000171310	99
ENSG00000166046	91
ENSG00000111785	92
ENSG00000166111	122
ENSG00000139438	102
ENSG00000139437	118
ENSG00000111231	88
ENSG00000151164	87
ENSG00000111252	76
ENSG00000089009	40
ENSG00000111331	55
ENSG00000139410	82
ENSG00000258102	68
ENSG00000258249	91
ENSG00000122966	86
ENSG00000202538	82
ENSG00000200795	70
ENSG00000089163	129
ENSG00000110871	41
ENSG00000283542	61
ENSG00000274292	55
ENSG00000139725	69
ENSG00000212694	40
ENSG00000158023	35
ENSG00000130779	45
ENSG00000033030	81
ENSG00000275265	65
ENSG00000184445	79
ENSG00000139722	92
ENSG00000139697	80
ENSG00000150991	131
ENSG00000265345	68
ENSG00000280117	56
ENSG00000279388	96
ENSG00000196458	95
ENSG00000246394	95
ENSG00000196387	53
ENSG00000214029	63
ENSG00000090612	123
ENSG00000260509	70
ENSG00000139496	93
ENSG00000132964	66
ENSG00000120694	70
ENSG00000244754	97
ENSG00000120690	74
ENSG00000165572	110
ENSG00000278390	40
ENSG00000120696	111
ENSG00000120662	91
ENSG00000136167	100
ENSG00000152213	80
ENSG00000276436	81
ENSG00000275559	127
ENSG00000231607	96
ENSG00000276089	134
ENSG00000139668	60
ENSG00000273523	59
ENSG00000227354	20
ENSG00000139793	21
ENSG00000125304	141
ENSG00000134901	91
ENSG00000134897	65
ENSG00000134871	97
ENSG00000213995	97
ENSG00000185896	100
ENSG00000100814	143
ENSG00000277209	147
ENSG00000257285	52
ENSG00000258457	114
ENSG00000100813	63
ENSG00000129473	78
ENSG00000255526	72
ENSG00000129559	54
ENSG00000100938	79
ENSG00000257126	53
ENSG00000176165	99
ENSG00000258558	57
ENSG00000196792	96
ENSG00000201654	94
ENSG00000202337	42
ENSG00000165389	89
ENSG00000258738	110
ENSG00000092020	94
ENSG00000258790	123
ENSG00000100890	80
ENSG00000100916	75
ENSG00000258708	156
ENSG00000179454	169
ENSG00000198718	140
ENSG00000213741	135
ENSG00000165502	125
ENSG00000274012	98
ENSG00000278002	91
ENSG00000282885	86
ENSG00000165527	100
ENSG00000100483	39
ENSG00000100528	91
ENSG00000168175	104
ENSG00000053770	52
ENSG00000100567	85
ENSG00000100575	90
ENSG00000140015	60
ENSG00000140006	74
ENSG00000257365	78
ENSG00000125952	58
ENSG00000072042	85
ENSG00000182185	97
ENSG00000185650	57
ENSG00000213463	80
ENSG00000165861	65
ENSG00000119707	102
ENSG00000252839	79
ENSG00000156030	94
ENSG00000119616	106
ENSG00000119640	115
ENSG00000119703	79
ENSG00000246548	98
ENSG00000151445	62
ENSG00000100603	97
ENSG00000063761	101
ENSG00000100629	70
ENSG00000071537	40
ENSG00000119720	82
ENSG00000275198	91
ENSG00000133943	84
ENSG00000100600	54
ENSG00000100749	96
ENSG00000258982	68
ENSG00000241494	131
ENSG00000259775	120
ENSG00000248508	115
ENSG00000156970	46
ENSG00000245849	126
ENSG00000166140	87
ENSG00000214013	84
ENSG00000168806	50
ENSG00000168803	63
ENSG00000140259	107
ENSG00000166710	71
ENSG00000260170	37
ENSG00000166200	80
ENSG00000156958	23
ENSG00000104064	81
ENSG00000138592	81
ENSG00000138594	127
ENSG00000128989	62
ENSG00000137876	90
ENSG00000276533	61
ENSG00000225973	108
ENSG00000260916	111
ENSG00000261652	129
ENSG00000259476	80
ENSG00000245975	103
ENSG00000259498	108
ENSG00000166128	100
ENSG00000138613	68
ENSG00000276651	127
ENSG00000166797	69
ENSG00000157734	128
ENSG00000166794	122
ENSG00000103671	109
ENSG00000199568	39
ENSG00000200156	101
ENSG00000074621	113
ENSG00000174485	129
ENSG00000103769	112
ENSG00000174444	90
ENSG00000259471	116
ENSG00000206625	141
ENSG00000258484	81
ENSG00000067225	72
ENSG00000138629	77
ENSG00000247240	75
ENSG00000178802	77
ENSG00000260288	76
ENSG00000159556	128
ENSG00000140382	72
ENSG00000284803	74
ENSG00000259494	106
ENSG00000181991	72
ENSG00000157823	80
ENSG00000140548	127
ENSG00000196391	136
ENSG00000278370	99
ENSG00000284946	99
ENSG00000214432	87
ENSG00000278514	98
ENSG00000274215	51
ENSG00000258922	43
ENSG00000272888	49
ENSG00000284324	61
ENSG00000247809	70
ENSG00000185551	28
ENSG00000007392	38
ENSG00000277142	121
ENSG00000103326	17
ENSG00000130731	60
ENSG00000162006	40
ENSG00000274751	56
ENSG00000174109	103
ENSG00000065057	47
ENSG00000281010	48
ENSG00000206630	44
ENSG00000260260	45
ENSG00000131653	64
ENSG00000167977	81
ENSG00000205913	80
ENSG00000167978	82
ENSG00000276791	48
ENSG00000263280	83
ENSG00000274367	60
ENSG00000131652	49
ENSG00000103145	67
ENSG00000263072	47
ENSG00000010539	64
ENSG00000281005	40
ENSG00000140987	50
ENSG00000103343	59
ENSG00000102858	57
ENSG00000184857	44
ENSG00000140650	26
ENSG00000261481	77
ENSG00000261392	68
ENSG00000166669	99
ENSG00000199482	131
ENSG00000038532	109
ENSG00000274834	65
ENSG00000103381	22
ENSG00000157045	85
ENSG00000166780	90
ENSG00000283736	72
ENSG00000134419	118
ENSG00000260342	115
ENSG00000170540	115
ENSG00000006007	137
ENSG00000103540	89
ENSG00000005187	112
ENSG00000140740	123
ENSG00000103319	41
ENSG00000257122	46
ENSG00000004779	68
ENSG00000166851	61
ENSG00000260448	62
ENSG00000176476	39
ENSG00000275441	56
ENSG00000178952	57
ENSG00000261766	66
ENSG00000176953	24
ENSG00000103485	72
ENSG00000169592	61
ENSG00000149922	59
ENSG00000180209	97
ENSG00000261346	42
ENSG00000169951	80
ENSG00000261840	113
ENSG00000280211	18
ENSG00000150281	101
ENSG00000167397	118
ENSG00000176723	74
ENSG00000260267	129
ENSG00000260625	88
ENSG00000166164	95
ENSG00000103479	138
ENSG00000102900	101
ENSG00000159625	83
ENSG00000181938	112
ENSG00000276131	66
ENSG00000200556	68
ENSG00000103042	124
ENSG00000140931	70
ENSG00000125122	126
ENSG00000168701	116
ENSG00000141084	114
ENSG00000102904	55
ENSG00000102901	50
ENSG00000168286	65
ENSG00000201850	90
ENSG00000103061	44
ENSG00000132600	46
ENSG00000132604	98
ENSG00000103018	111
ENSG00000102908	59
ENSG00000262136	45
ENSG00000090861	100
ENSG00000261777	116
ENSG00000157350	69
ENSG00000157353	118
ENSG00000103035	77
ENSG00000184517	104
ENSG00000153774	109
ENSG00000230989	105
ENSG00000278214	82
ENSG00000260456	84
ENSG00000270006	107
ENSG00000129993	79
ENSG00000167526	38
ENSG00000177370	56
ENSG00000262664	95
ENSG00000040531	87
ENSG00000074370	12
ENSG00000244184	137
ENSG00000161920	109
ENSG00000234327	122
ENSG00000108559	96
ENSG00000129197	74
ENSG00000005100	68
ENSG00000262099	66
ENSG00000167842	6
ENSG00000198920	6
ENSG00000108590	100
ENSG00000040633	107
ENSG00000181885	91
ENSG00000181284	70
ENSG00000170175	71
ENSG00000181222	35
ENSG00000141499	31
ENSG00000183011	28
ENSG00000182224	25
ENSG00000200463	63
ENSG00000161970	75
ENSG00000264739	53
ENSG00000175061	65
ENSG00000277370	73
ENSG00000264765	25
ENSG00000264666	18
ENSG00000133027	48
ENSG00000141034	83
ENSG00000131899	94
ENSG00000176994	67
ENSG00000261033	96
ENSG00000178307	99
ENSG00000235530	82
ENSG00000285822	135
ENSG00000266313	133
ENSG00000265683	62
ENSG00000109083	119
ENSG00000109079	135
ENSG00000244045	96
ENSG00000258924	70
ENSG00000198242	129
ENSG00000267729	94
ENSG00000132591	36
ENSG00000284085	110
ENSG00000264066	119
ENSG00000108256	68
ENSG00000198720	113
ENSG00000263370	86
ENSG00000108587	76
ENSG00000176390	118
ENSG00000176208	68
ENSG00000283774	83
ENSG00000010244	80
ENSG00000108671	81
ENSG00000267625	84
ENSG00000108733	102
ENSG00000006125	116
ENSG00000275532	119
ENSG00000277972	23
ENSG00000125691	61
ENSG00000265428	60
ENSG00000167258	106
ENSG00000172057	82
ENSG00000204913	84
ENSG00000264968	151
ENSG00000108344	109
ENSG00000008838	79
ENSG00000126368	50
ENSG00000108349	69
ENSG00000094804	91
ENSG00000167920	91
ENSG00000168256	127
ENSG00000108774	105
ENSG00000267758	93
ENSG00000236194	129
ENSG00000108784	107
ENSG00000068120	68
ENSG00000183978	27
ENSG00000266967	51
ENSG00000198496	91
ENSG00000067596	101
ENSG00000005961	94
ENSG00000180340	72
ENSG00000172992	96
ENSG00000276728	75
ENSG00000186834	106
ENSG00000224505	88
ENSG00000168517	54
ENSG00000120071	89
ENSG00000178852	119
ENSG00000159111	51
ENSG00000141294	66
ENSG00000108468	130
ENSG00000002919	111
ENSG00000230148	73
ENSG00000182742	74
ENSG00000257178	93
ENSG00000108511	69
ENSG00000260027	76
ENSG00000170689	92
ENSG00000242207	106
ENSG00000210741	101
ENSG00000159199	112
ENSG00000159217	68
ENSG00000167085	58
ENSG00000136504	22
ENSG00000154945	86
ENSG00000274213	80
ENSG00000263004	139
ENSG00000266290	82
ENSG00000284353	103
ENSG00000265206	162
ENSG00000264399	87
ENSG00000285897	80
ENSG00000212195	83
ENSG00000200997	53
ENSG00000167447	102
ENSG00000108406	104
ENSG00000273702	139
ENSG00000267637	83
ENSG00000267302	129
ENSG00000141371	63
ENSG00000062725	83
ENSG00000108588	74
ENSG00000108622	110
ENSG00000108654	80
ENSG00000265883	66
ENSG00000168646	94
ENSG00000130935	69
ENSG00000231749	110
ENSG00000278873	107
ENSG00000172809	128
ENSG00000125454	67
ENSG00000177885	89
ENSG00000283853	113
ENSG00000132471	61
ENSG00000188878	103
ENSG00000267546	41
ENSG00000163597	51
ENSG00000274091	95
ENSG00000070526	104
ENSG00000167889	77
ENSG00000089685	40
ENSG00000267676	106
ENSG00000171302	44
ENSG00000141564	85
ENSG00000169683	45
ENSG00000182459	45
ENSG00000279744	2
ENSG00000176105	97
ENSG00000273355	53
ENSG00000266575	109
ENSG00000101574	126
ENSG00000272688	106
ENSG00000264235	84
ENSG00000177426	98
ENSG00000177337	117
ENSG00000263753	127
ENSG00000101745	113
ENSG00000017797	41
ENSG00000264289	100
ENSG00000101782	44
ENSG00000172466	83
ENSG00000152223	91
ENSG00000152234	54
ENSG00000141627	66
ENSG00000074695	51
ENSG00000081913	75
ENSG00000176225	47
ENSG00000075336	85
ENSG00000278607	154
ENSG00000265843	126
ENSG00000274828	34
ENSG00000178412	81
ENSG00000099866	122
ENSG00000141933	75
ENSG00000266933	108
ENSG00000099821	84
ENSG00000196415	91
ENSG00000175221	95
ENSG00000207507	152
ENSG00000207357	109
ENSG00000267736	148
ENSG00000099624	32
ENSG00000267232	111
ENSG00000213638	149
ENSG00000227500	89
ENSG00000104897	88
ENSG00000188305	84
ENSG00000099800	42
ENSG00000267201	96
ENSG00000267214	111
ENSG00000226800	70
ENSG00000105289	77
ENSG00000011132	110
ENSG00000183617	95
ENSG00000178951	111
ENSG00000185361	104
ENSG00000268536	104
ENSG00000141965	94
ENSG00000127666	85
ENSG00000174917	60
ENSG00000167733	26
ENSG00000130255	108
ENSG00000141994	94
ENSG00000171119	81
ENSG00000125657	94
ENSG00000125726	88
ENSG00000276980	104
ENSG00000125734	91
ENSG00000032444	58
ENSG00000267855	4
ENSG00000167774	118
ENSG00000233927	118
ENSG00000099785	127
ENSG00000130803	130
ENSG00000278611	91
ENSG00000274425	21
ENSG00000267100	90
ENSG00000079805	69
ENSG00000214212	82
ENSG00000130164	120
ENSG00000123154	87
ENSG00000105576	134
ENSG00000123144	162
ENSG00000171223	28
ENSG00000105610	125
ENSG00000179271	129
ENSG00000008441	75
ENSG00000104903	96
ENSG00000104907	51
ENSG00000160888	65
ENSG00000267598	62
ENSG00000132016	59
ENSG00000275091	65
ENSG00000187867	39
ENSG00000267783	122
ENSG00000123143	99
ENSG00000105127	72
ENSG00000279198	29
ENSG00000269058	83
ENSG00000105072	117
ENSG00000127533	71
ENSG00000269307	82
ENSG00000105393	75
ENSG00000130312	136
ENSG00000269053	92
ENSG00000141971	22
ENSG00000105640	76
ENSG00000007080	85
ENSG00000099308	87
ENSG00000130522	81
ENSG00000267959	87
ENSG00000130520	112
ENSG00000105656	153
ENSG00000105669	100
ENSG00000105671	102
ENSG00000181035	113
ENSG00000064545	108
ENSG00000105705	39
ENSG00000129933	107
ENSG00000266904	123
ENSG00000197013	45
ENSG00000274503	86
ENSG00000268240	97
ENSG00000267575	1
ENSG00000266976	74
ENSG00000105173	85
ENSG00000267213	122
ENSG00000257103	111
ENSG00000279329	78
ENSG00000089335	127
ENSG00000153896	112
ENSG00000270876	91
ENSG00000168661	69
ENSG00000236144	95
ENSG00000105677	47
ENSG00000161265	77
ENSG00000267120	80
ENSG00000205155	49
ENSG00000188223	55
ENSG00000267439	131
ENSG00000267796	98
ENSG00000196357	94
ENSG00000167635	96
ENSG00000142065	108
ENSG00000186017	99
ENSG00000267309	54
ENSG00000254004	53
ENSG00000228629	105
ENSG00000186020	69
ENSG00000233527	93
ENSG00000225975	74
