protein1	protein2	neighborhood	neighborhood_transferred	fusion	cooccurence	homology	coexpression	coexpression_transferred	experiments	experiments_transferred	database	database_transferred	textmining	textmining_transferred	combined_score	protein1_name	protein2_name
9606.ENSP00000000233	9606.ENSP00000361467	0	0	0	0	0	0	0	0	138	0	0	0	62	156	ARF5	DLG5
9606.ENSP00000000233	9606.ENSP00000360727	0	0	0	0	0	0	62	0	160	0	0	0	112	239	ARF5	RABL6
9606.ENSP00000000233	9606.ENSP00000402935	0	0	0	0	0	0	0	0	150	0	0	0	48	156	ARF5	TBC1D5
9606.ENSP00000000233	9606.ENSP00000357879	0	0	0	0	0	0	62	0	163	0	0	0	42	182	ARF5	PSMD4
9606.ENSP00000000233	9606.ENSP00000306881	0	0	0	0	0	0	66	0	62	0	0	194	225	379	ARF5	SEC23A
9606.ENSP00000000233	9606.ENSP00000300026	0	0	0	0	0	59	62	0	169	0	0	0	69	225	ARF5	PPIB
9606.ENSP00000000233	9606.ENSP00000387176	0	0	0	0	0	0	63	0	104	0	0	0	139	214	ARF5	POTEJ
9606.ENSP00000000233	9606.ENSP00000437554	0	0	0	0	0	0	0	0	142	0	0	0	55	154	ARF5	IQSEC3
9606.ENSP00000000233	9606.ENSP00000321348	0	0	0	0	0	0	0	0	159	0	0	0	48	165	ARF5	DIAPH2
9606.ENSP00000000233	9606.ENSP00000276689	0	0	0	0	0	0	62	0	0	0	0	0	138	156	ARF5	NDUFB9
9606.ENSP00000000233	9606.ENSP00000216373	0	0	0	0	0	0	0	0	161	0	0	0	58	175	ARF5	SOS2
9606.ENSP00000000233	9606.ENSP00000377948	0	0	0	0	0	0	0	0	0	0	0	181	62	198	ARF5	QRFPR
9606.ENSP00000000233	9606.ENSP00000483486	0	0	0	0	835	0	0	0	147	0	0	241	255	201	ARF5	ARFRP1
9606.ENSP00000000233	9606.ENSP00000379191	0	0	0	0	0	0	0	0	0	600	0	0	43	600	ARF5	CD59
9606.ENSP00000000233	9606.ENSP00000312734	0	0	0	0	671	0	65	0	212	0	0	107	216	292	ARF5	RAB8B
9606.ENSP00000000233	9606.ENSP00000307939	0	0	0	0	0	42	49	0	94	0	0	113	112	231	ARF5	GCC2
9606.ENSP00000000233	9606.ENSP00000372023	0	0	0	0	0	0	110	0	0	0	0	0	103	167	ARF5	CHEK2
9606.ENSP00000000233	9606.ENSP00000274289	0	0	0	0	0	0	0	0	148	0	0	0	59	163	ARF5	PLK2
9606.ENSP00000000233	9606.ENSP00000417573	0	0	0	0	0	0	63	0	117	0	0	0	76	168	ARF5	YIPF6
9606.ENSP00000000233	9606.ENSP00000260762	0	0	0	0	0	0	0	0	149	0	0	0	111	211	ARF5	EXOC6
9606.ENSP00000000233	9606.ENSP00000448182	0	0	0	0	0	46	63	0	150	0	0	0	53	184	ARF5	TBC1D15
9606.ENSP00000000233	9606.ENSP00000481258	0	0	0	0	0	0	49	0	150	0	0	0	48	163	ARF5	TBC1D3I
9606.ENSP00000000233	9606.ENSP00000402103	0	0	0	0	0	0	0	0	162	0	0	0	47	167	ARF5	HK1
9606.ENSP00000000233	9606.ENSP00000349305	0	0	0	0	0	0	0	0	129	0	0	266	101	375	ARF5	GOLGA4
9606.ENSP00000000233	9606.ENSP00000320295	0	0	0	0	0	0	64	0	149	0	0	0	101	221	ARF5	TUBB3
9606.ENSP00000000233	9606.ENSP00000375960	0	0	0	0	0	0	0	0	138	0	0	48	48	150	ARF5	MLLT4
9606.ENSP00000000233	9606.ENSP00000466363	0	0	0	0	0	64	63	0	114	0	0	144	101	293	ARF5	PIP5K1C
9606.ENSP00000000233	9606.ENSP00000314214	0	0	0	0	0	0	62	0	111	0	0	0	67	154	ARF5	VAMP2
9606.ENSP00000000233	9606.ENSP00000441497	0	0	0	0	0	0	0	0	0	0	0	157	55	169	ARF5	SERPINB11
9606.ENSP00000000233	9606.ENSP00000385995	0	0	0	0	0	0	0	0	0	0	0	91	250	289	ARF5	THADA
9606.ENSP00000000233	9606.ENSP00000384996	0	0	0	0	0	0	0	0	150	0	0	0	48	156	ARF5	TBC1D10A
9606.ENSP00000000233	9606.ENSP00000422037	0	0	0	0	0	0	0	0	0	0	0	171	0	171	ARF5	NFXL1
9606.ENSP00000000233	9606.ENSP00000419361	0	0	0	0	0	0	62	0	138	0	0	0	55	169	ARF5	ADCY5
9606.ENSP00000000233	9606.ENSP00000261837	0	0	0	0	0	0	0	0	152	0	0	0	59	167	ARF5	GNB5
9606.ENSP00000000233	9606.ENSP00000259351	0	0	0	0	0	0	0	0	161	0	0	0	58	175	ARF5	RALGPS1
9606.ENSP00000000233	9606.ENSP00000264454	0	0	0	0	0	0	83	0	158	0	0	0	141	278	ARF5	SEC22C
9606.ENSP00000000233	9606.ENSP00000362413	0	0	0	0	0	0	62	0	152	0	0	0	77	201	ARF5	PGK1
9606.ENSP00000000233	9606.ENSP00000313854	0	0	0	0	0	0	62	0	137	0	0	0	0	155	ARF5	CLPTM1L
9606.ENSP00000000233	9606.ENSP00000357475	0	0	0	0	0	0	0	0	152	0	0	0	55	164	ARF5	ATP8B2
9606.ENSP00000000233	9606.ENSP00000272233	0	0	0	0	0	0	107	0	56	0	0	0	137	208	ARF5	RHOB
9606.ENSP00000000233	9606.ENSP00000427463	0	0	0	0	0	155	62	0	0	0	0	0	79	206	ARF5	SPCS3
9606.ENSP00000000233	9606.ENSP00000373905	0	0	0	0	0	62	83	0	65	0	0	125	145	288	ARF5	DNM2
9606.ENSP00000000233	9606.ENSP00000267584	0	0	0	0	0	0	62	0	134	0	0	0	81	188	ARF5	AK7
9606.ENSP00000000233	9606.ENSP00000321537	0	0	0	0	0	0	0	0	145	0	0	0	51	153	ARF5	LLGL1
9606.ENSP00000000233	9606.ENSP00000227756	0	0	0	0	0	0	0	0	0	0	0	142	303	376	ARF5	GALNT18
9606.ENSP00000000233	9606.ENSP00000381535	0	0	0	0	0	0	49	0	150	0	0	0	55	169	ARF5	STK32A
9606.ENSP00000000233	9606.ENSP00000306752	0	0	0	0	0	0	0	0	151	0	0	0	52	160	ARF5	BOLA2B
9606.ENSP00000000233	9606.ENSP00000272322	0	0	0	0	0	0	0	0	126	0	0	0	146	221	ARF5	VPS54
9606.ENSP00000000233	9606.ENSP00000044462	0	0	0	0	0	0	64	0	64	0	0	0	121	162	ARF5	PSMA4
9606.ENSP00000000233	9606.ENSP00000341247	0	0	0	0	0	0	62	0	77	0	0	0	213	259	ARF5	GSPT2
9606.ENSP00000000233	9606.ENSP00000447942	0	0	0	0	0	0	166	0	0	0	0	0	0	165	ARF5	PFDN5
9606.ENSP00000000233	9606.ENSP00000319096	0	0	0	0	0	0	61	0	149	0	0	61	101	235	ARF5	RAP2B
9606.ENSP00000000233	9606.ENSP00000373215	0	0	0	0	0	0	0	0	145	0	0	112	0	208	ARF5	CADPS
9606.ENSP00000000233	9606.ENSP00000256953	0	0	0	0	0	0	61	0	0	0	0	0	154	171	ARF5	RERG
9606.ENSP00000000233	9606.ENSP00000387307	0	0	0	0	0	0	62	0	152	0	0	0	142	257	ARF5	RAB6C
9606.ENSP00000000233	9606.ENSP00000476145	0	0	0	0	0	0	68	0	140	0	0	0	59	179	ARF5	FRK
9606.ENSP00000000233	9606.ENSP00000243298	0	0	0	0	0	0	62	0	77	0	0	0	138	188	ARF5	RAB9B
9606.ENSP00000000233	9606.ENSP00000398803	0	0	0	0	0	69	62	0	92	0	0	0	67	161	ARF5	TSTA3
9606.ENSP00000000233	9606.ENSP00000306330	0	0	0	0	0	45	64	0	136	0	0	0	53	170	ARF5	YWHAG
9606.ENSP00000000233	9606.ENSP00000359370	0	0	0	0	0	0	54	0	169	0	0	0	207	322	ARF5	SEC31B
9606.ENSP00000000233	9606.ENSP00000302895	0	0	0	0	0	0	0	0	147	0	0	218	49	310	ARF5	ARAP2
9606.ENSP00000000233	9606.ENSP00000376293	0	0	0	0	0	0	51	0	65	0	0	0	140	170	ARF5	OSBPL6
9606.ENSP00000000233	9606.ENSP00000225972	0	0	0	0	0	0	66	0	125	0	0	0	52	157	ARF5	LRRC59
9606.ENSP00000000233	9606.ENSP00000296518	0	0	0	0	0	0	62	0	138	0	0	0	55	169	ARF5	GUCY1A3
9606.ENSP00000000233	9606.ENSP00000234454	0	0	0	0	0	0	62	0	78	0	0	145	189	320	ARF5	SPR
9606.ENSP00000000233	9606.ENSP00000376333	0	0	0	0	0	0	0	0	145	0	0	0	51	153	ARF5	LLGL2
9606.ENSP00000000233	9606.ENSP00000400972	0	0	0	0	0	0	53	0	147	0	0	0	85	196	ARF5	AGAP6
9606.ENSP00000000233	9606.ENSP00000303830	0	0	0	0	0	0	0	0	140	0	0	0	90	183	ARF5	INSR
9606.ENSP00000000233	9606.ENSP00000400175	0	0	0	0	0	0	108	0	56	0	0	150	137	299	ARF5	RHOA
9606.ENSP00000000233	9606.ENSP00000355759	0	0	0	0	0	0	0	0	58	0	0	535	0	543	ARF5	PARP1
9606.ENSP00000000233	9606.ENSP00000485450	0	0	0	0	0	0	0	0	101	0	0	0	144	197	ARF5	HNRNPCL2
9606.ENSP00000000233	9606.ENSP00000216181	0	0	0	0	0	0	51	0	139	0	0	0	50	155	ARF5	MYH9
9606.ENSP00000000233	9606.ENSP00000336799	0	0	0	0	0	45	63	0	149	0	0	81	75	234	ARF5	TUBA1B
9606.ENSP00000000233	9606.ENSP00000387286	0	0	0	0	659	47	73	0	248	600	0	151	249	730	ARF5	RAB1A
9606.ENSP00000000233	9606.ENSP00000361892	0	0	0	0	0	0	112	0	89	0	0	0	43	158	ARF5	STK4
9606.ENSP00000000233	9606.ENSP00000339467	0	0	0	0	0	54	62	0	56	0	0	161	111	261	ARF5	RHOG
9606.ENSP00000000233	9606.ENSP00000420849	0	0	0	0	0	0	65	0	127	0	0	0	50	156	ARF5	NIM1K
9606.ENSP00000000233	9606.ENSP00000331342	0	0	0	0	0	0	0	0	0	0	0	500	0	499	ARF5	RAB11FIP1
9606.ENSP00000000233	9606.ENSP00000460380	0	0	0	0	0	0	63	0	150	0	0	54	142	267	ARF5	USP6
9606.ENSP00000000233	9606.ENSP00000264161	0	0	0	0	0	0	62	0	179	0	0	0	58	211	ARF5	DARS
9606.ENSP00000000233	9606.ENSP00000427114	0	0	0	0	0	0	62	0	0	0	0	0	303	318	ARF5	FYB
9606.ENSP00000000233	9606.ENSP00000258787	0	0	0	0	0	0	146	0	139	0	0	0	48	238	ARF5	MYO1G
9606.ENSP00000000233	9606.ENSP00000311962	0	0	0	0	0	0	0	0	56	0	0	243	302	457	ARF5	GGA2
9606.ENSP00000000233	9606.ENSP00000334448	0	0	0	0	0	0	0	0	0	0	0	112	108	174	ARF5	GNG2
9606.ENSP00000000233	9606.ENSP00000263334	0	0	0	0	0	0	62	0	77	0	0	0	101	153	ARF5	PAX8
9606.ENSP00000000233	9606.ENSP00000466898	0	0	0	0	0	0	62	210	0	0	0	0	0	227	ARF5	LPPR2
9606.ENSP00000000233	9606.ENSP00000348349	0	0	0	0	0	0	51	0	248	0	0	0	67	276	ARF5	MYO9A
9606.ENSP00000000233	9606.ENSP00000295256	0	0	0	0	0	0	0	0	103	0	0	424	0	461	ARF5	HPGDS
9606.ENSP00000000233	9606.ENSP00000363988	0	0	0	0	0	0	62	0	157	0	0	0	0	175	ARF5	ALDOB
9606.ENSP00000000233	9606.ENSP00000445359	0	0	0	0	0	0	0	0	152	0	0	0	55	164	ARF5	ATP8B1
9606.ENSP00000000233	9606.ENSP00000442046	0	0	0	0	0	0	51	0	177	0	0	0	58	200	ARF5	TMTC1
9606.ENSP00000000233	9606.ENSP00000272427	0	0	0	0	0	0	0	0	149	0	0	0	111	211	ARF5	EXOC6B
9606.ENSP00000000233	9606.ENSP00000358474	0	0	0	0	0	0	62	0	148	0	0	0	0	166	ARF5	BRCC3
9606.ENSP00000000233	9606.ENSP00000312224	0	0	0	0	0	0	62	0	140	0	0	0	0	158	ARF5	DTD2
9606.ENSP00000000233	9606.ENSP00000471735	0	0	0	0	0	62	62	0	148	0	0	0	0	184	ARF5	MPND
9606.ENSP00000000233	9606.ENSP00000233078	0	0	0	0	0	0	62	272	0	0	0	0	0	287	ARF5	DAZAP1
9606.ENSP00000000233	9606.ENSP00000264183	0	0	0	0	0	0	0	0	57	0	0	108	189	258	ARF5	ARID4B
9606.ENSP00000000233	9606.ENSP00000346921	0	0	0	0	0	0	62	0	179	0	0	0	81	230	ARF5	AK2
9606.ENSP00000000233	9606.ENSP00000349960	0	0	0	0	0	68	63	0	104	0	0	138	139	313	ARF5	ACTB
9606.ENSP00000000233	9606.ENSP00000380432	0	0	0	0	0	0	0	0	0	600	0	53	0	605	ARF5	INS
9606.ENSP00000000233	9606.ENSP00000376306	0	0	0	0	0	0	0	0	213	0	0	0	59	227	ARF5	CIT
9606.ENSP00000000233	9606.ENSP00000466248	0	0	0	0	0	0	0	0	148	0	0	0	59	163	ARF5	PLK5
9606.ENSP00000000233	9606.ENSP00000468837	0	0	0	0	0	0	0	0	150	0	0	0	51	158	ARF5	ENSG00000268434
9606.ENSP00000000233	9606.ENSP00000339191	0	0	0	0	0	0	0	0	92	0	0	0	107	154	ARF5	CAV1
9606.ENSP00000000233	9606.ENSP00000299705	0	0	0	0	0	49	52	0	0	600	0	0	0	607	ARF5	TMED3
9606.ENSP00000000233	9606.ENSP00000442307	0	0	0	0	0	0	0	0	143	0	0	0	58	158	ARF5	ECT2L
9606.ENSP00000000233	9606.ENSP00000375682	0	0	0	0	0	0	0	274	56	0	0	0	48	290	ARF5	KLK8
9606.ENSP00000000233	9606.ENSP00000377280	0	0	0	0	0	0	0	0	212	0	0	107	142	343	ARF5	FBXO8
9606.ENSP00000000233	9606.ENSP00000377275	0	0	0	0	0	0	0	0	0	0	0	230	68	251	ARF5	GOLGB1
9606.ENSP00000000233	9606.ENSP00000262812	0	0	0	0	0	140	97	0	163	600	0	108	111	745	ARF5	COPE
9606.ENSP00000000233	9606.ENSP00000482306	0	0	0	0	0	0	64	0	213	0	0	0	42	232	ARF5	TTC8
9606.ENSP00000000233	9606.ENSP00000215659	0	0	0	0	0	0	0	0	163	0	0	0	59	178	ARF5	MAPK12
9606.ENSP00000000233	9606.ENSP00000360985	0	0	0	0	0	0	0	0	284	0	0	44	254	444	ARF5	ARFGEF2
9606.ENSP00000000233	9606.ENSP00000290158	0	0	0	0	0	0	0	0	0	0	0	0	176	175	ARF5	KPNB1
9606.ENSP00000000233	9606.ENSP00000397459	0	0	0	0	0	0	62	83	126	0	0	0	48	188	ARF5	DUSP22
9606.ENSP00000000233	9606.ENSP00000287394	0	0	0	0	0	0	0	0	63	0	0	0	138	157	ARF5	ATAD2
9606.ENSP00000000233	9606.ENSP00000262746	0	0	0	0	0	0	62	0	149	0	0	81	62	219	ARF5	PRDX1
9606.ENSP00000000233	9606.ENSP00000356702	0	0	0	0	0	0	62	0	142	0	0	0	42	161	ARF5	PIGC
9606.ENSP00000000233	9606.ENSP00000354040	0	0	0	0	0	0	62	0	56	0	0	270	0	297	ARF5	GTPBP4
9606.ENSP00000000233	9606.ENSP00000219479	0	0	0	0	0	0	0	212	0	0	0	0	0	212	ARF5	NME4
9606.ENSP00000000233	9606.ENSP00000324277	0	0	0	0	0	0	0	0	0	0	0	49	174	180	ARF5	APOLD1
9606.ENSP00000000233	9606.ENSP00000158762	0	0	0	0	0	0	0	0	147	0	0	723	86	765	ARF5	ACAP1
9606.ENSP00000000233	9606.ENSP00000449270	0	0	0	0	0	109	98	0	210	600	0	0	194	757	ARF5	COPZ1
9606.ENSP00000000233	9606.ENSP00000351777	0	0	0	0	0	62	49	0	104	0	0	0	71	158	ARF5	VCP
9606.ENSP00000000233	9606.ENSP00000264335	0	0	0	0	0	48	65	0	136	0	0	70	53	199	ARF5	YWHAE
9606.ENSP00000000233	9606.ENSP00000311430	0	0	0	0	0	0	62	0	180	0	0	0	0	197	ARF5	RPL4
9606.ENSP00000000233	9606.ENSP00000357883	0	0	0	0	0	0	63	213	119	0	0	46	101	341	ARF5	PIP5K1A
9606.ENSP00000000233	9606.ENSP00000480707	0	0	0	0	0	0	98	0	187	600	0	0	194	731	ARF5	COPZ2
9606.ENSP00000000233	9606.ENSP00000267484	0	0	0	0	0	0	63	0	127	0	0	0	54	158	ARF5	RTN1
9606.ENSP00000000233	9606.ENSP00000416097	0	0	0	0	0	0	62	0	0	0	0	299	76	339	ARF5	GOLGA2
9606.ENSP00000000233	9606.ENSP00000361473	0	0	0	0	0	0	0	0	59	0	0	0	137	153	ARF5	KDM4A
9606.ENSP00000000233	9606.ENSP00000265709	0	0	0	0	0	0	62	0	76	600	0	0	55	628	ARF5	ANK1
9606.ENSP00000000233	9606.ENSP00000342136	0	0	0	0	0	0	52	0	0	0	0	134	101	197	ARF5	CREB3
9606.ENSP00000000233	9606.ENSP00000433102	0	0	0	0	0	0	0	0	56	0	0	0	212	224	ARF5	TRIM3
9606.ENSP00000000233	9606.ENSP00000300574	0	0	0	0	0	0	83	0	0	0	0	73	101	169	ARF5	CRK
9606.ENSP00000000233	9606.ENSP00000320866	0	0	0	0	0	56	84	0	0	0	0	0	146	197	ARF5	CALR
9606.ENSP00000000233	9606.ENSP00000334100	0	0	0	0	0	0	0	0	185	0	0	571	140	673	ARF5	EXOC7
9606.ENSP00000000233	9606.ENSP00000263245	0	0	0	0	0	0	63	0	391	600	0	391	255	877	ARF5	ARFGAP3
9606.ENSP00000000233	9606.ENSP00000222803	0	0	0	0	0	0	0	0	0	0	0	150	179	272	ARF5	FKBP14
9606.ENSP00000000233	9606.ENSP00000217182	0	0	0	0	0	0	62	0	96	0	0	0	189	252	ARF5	EEF1A2
9606.ENSP00000000233	9606.ENSP00000346599	0	0	0	0	0	0	62	0	126	0	0	0	48	151	ARF5	STYX
9606.ENSP00000000233	9606.ENSP00000354837	0	0	0	0	0	0	0	0	153	0	0	0	58	168	ARF5	ARHGEF2
9606.ENSP00000000233	9606.ENSP00000300093	0	0	0	0	0	0	0	0	148	0	0	0	59	163	ARF5	PLK1
9606.ENSP00000000233	9606.ENSP00000452762	0	0	0	0	0	0	0	550	58	0	0	0	0	557	ARF5	ETFA
9606.ENSP00000000233	9606.ENSP00000325074	0	0	0	0	0	0	55	0	144	0	0	0	58	171	ARF5	PPP2R2A
9606.ENSP00000000233	9606.ENSP00000280700	0	0	0	0	0	0	0	0	0	0	0	139	191	273	ARF5	NGLY1
9606.ENSP00000000233	9606.ENSP00000283195	0	0	0	0	0	0	62	0	156	0	0	0	62	192	ARF5	RANBP2
9606.ENSP00000000233	9606.ENSP00000483965	0	0	0	0	0	0	49	0	150	0	0	0	48	163	ARF5	TBC1D3E
9606.ENSP00000000233	9606.ENSP00000475168	0	0	0	0	0	61	64	0	70	0	0	0	107	172	ARF5	RER1
9606.ENSP00000000233	9606.ENSP00000431165	0	0	0	0	0	0	0	0	175	0	0	0	58	189	ARF5	ENSG00000258472
9606.ENSP00000000233	9606.ENSP00000265462	0	0	0	0	0	68	0	0	155	0	0	0	43	180	ARF5	PRDX5
9606.ENSP00000000233	9606.ENSP00000255194	0	0	0	0	0	59	48	270	375	0	0	0	77	553	ARF5	AP3B1
9606.ENSP00000000233	9606.ENSP00000278572	0	0	0	0	0	0	101	0	76	0	0	0	59	150	ARF5	RPS3
9606.ENSP00000000233	9606.ENSP00000371230	0	0	0	0	0	0	62	0	134	0	0	0	81	188	ARF5	AK3
9606.ENSP00000000233	9606.ENSP00000336994	0	0	0	0	0	77	62	0	137	0	0	0	0	187	ARF5	CLPTM1
9606.ENSP00000000233	9606.ENSP00000327145	0	0	0	0	0	0	62	0	76	0	0	90	107	201	ARF5	FLNC
9606.ENSP00000000233	9606.ENSP00000251047	0	0	0	0	0	0	62	0	144	0	0	258	110	398	ARF5	LMAN1
9606.ENSP00000000233	9606.ENSP00000296526	0	0	0	0	0	0	0	0	57	0	0	326	0	337	ARF5	GRIA2
9606.ENSP00000000233	9606.ENSP00000409382	0	0	0	0	0	0	62	0	212	0	0	0	85	264	ARF5	CRACR2A
9606.ENSP00000000233	9606.ENSP00000364579	0	0	0	0	0	0	64	0	150	0	0	0	48	176	ARF5	GRTP1
9606.ENSP00000000233	9606.ENSP00000381293	0	0	0	0	0	46	62	0	104	0	0	0	134	212	ARF5	NSF
9606.ENSP00000000233	9606.ENSP00000217133	0	0	0	0	0	0	64	0	149	0	0	0	79	202	ARF5	TUBB1
9606.ENSP00000000233	9606.ENSP00000442382	0	0	0	0	0	0	0	0	59	0	0	0	137	153	ARF5	JHDM3C
9606.ENSP00000000233	9606.ENSP00000294016	0	0	0	0	0	0	62	0	138	0	0	0	55	169	ARF5	ADCY9
9606.ENSP00000000233	9606.ENSP00000440005	0	0	0	447	978	77	64	679	0	900	0	850	107	969	ARF5	ARF1
9606.ENSP00000000233	9606.ENSP00000270747	0	0	0	0	0	0	0	0	153	0	0	0	49	160	ARF5	ARHGEF19
9606.ENSP00000000233	9606.ENSP00000269980	0	0	0	0	0	0	62	0	0	0	0	43	139	159	ARF5	BCKDHA
9606.ENSP00000000233	9606.ENSP00000482630	0	0	0	0	0	0	49	0	150	0	0	0	48	163	ARF5	TBC1D3H
9606.ENSP00000000233	9606.ENSP00000383234	0	0	0	0	0	0	0	0	163	0	0	0	59	178	ARF5	MAPK4
9606.ENSP00000000233	9606.ENSP00000250617	0	0	0	0	0	0	0	0	56	0	0	123	101	190	ARF5	ARHGEF6
9606.ENSP00000000233	9606.ENSP00000324792	0	0	0	0	0	0	63	0	170	0	0	0	72	215	ARF5	NFATC2IP
9606.ENSP00000000233	9606.ENSP00000309591	0	0	0	0	0	68	65	0	148	0	0	0	61	209	ARF5	PRKACA
9606.ENSP00000000233	9606.ENSP00000341658	0	0	0	0	0	0	62	0	126	0	0	0	48	151	ARF5	DUSP15
9606.ENSP00000000233	9606.ENSP00000351015	0	0	0	0	0	0	0	0	181	0	0	0	63	199	ARF5	NF1
9606.ENSP00000000233	9606.ENSP00000371070	0	0	0	0	0	0	0	0	152	0	0	0	70	177	ARF5	ATP8A2
9606.ENSP00000000233	9606.ENSP00000375649	0	0	0	0	0	0	0	0	0	0	0	0	213	213	ARF5	MYADM
9606.ENSP00000000233	9606.ENSP00000439189	0	0	0	0	0	0	63	0	104	0	0	0	139	214	ARF5	POTEE
9606.ENSP00000000233	9606.ENSP00000270176	0	0	0	0	0	111	0	0	0	0	0	229	58	297	ARF5	SCYL1
9606.ENSP00000000233	9606.ENSP00000358723	0	0	0	0	0	0	62	0	0	0	0	122	142	231	ARF5	RAP1A
9606.ENSP00000000233	9606.ENSP00000428209	0	0	0	0	0	0	63	0	0	0	0	0	138	157	ARF5	UBE2V2
9606.ENSP00000000233	9606.ENSP00000285518	0	0	0	0	0	0	0	0	105	0	0	0	101	160	ARF5	AGPAT5
9606.ENSP00000000233	9606.ENSP00000265069	0	0	0	0	0	0	0	0	56	0	0	124	55	150	ARF5	ZFR
9606.ENSP00000000233	9606.ENSP00000382492	0	0	0	0	0	0	64	0	139	0	0	0	43	161	ARF5	RADIL
9606.ENSP00000000233	9606.ENSP00000225235	0	0	0	0	0	0	60	0	150	0	0	0	48	172	ARF5	TBC1D12
9606.ENSP00000000233	9606.ENSP00000300176	0	0	0	0	0	0	0	0	147	0	0	0	49	154	ARF5	AGFG2
9606.ENSP00000000233	9606.ENSP00000478479	0	0	0	0	0	0	63	0	0	0	0	90	161	222	ARF5	RAB18
9606.ENSP00000000233	9606.ENSP00000460964	0	0	0	0	0	0	0	0	0	0	0	0	257	256	ARF5	ATPAF1
9606.ENSP00000000233	9606.ENSP00000281589	0	0	0	0	0	0	0	0	77	0	0	0	135	167	ARF5	PABPC3
9606.ENSP00000000233	9606.ENSP00000324527	0	0	0	0	0	0	122	0	139	0	0	0	48	217	ARF5	MYO1D
9606.ENSP00000000233	9606.ENSP00000264071	0	0	0	0	0	0	64	0	149	0	0	0	101	221	ARF5	TUBB4A
9606.ENSP00000000233	9606.ENSP00000268057	0	0	0	0	0	0	51	0	177	0	0	0	58	200	ARF5	BBS4
9606.ENSP00000000233	9606.ENSP00000325002	0	0	0	0	0	0	62	0	315	600	0	0	215	771	ARF5	COPG1
9606.ENSP00000000233	9606.ENSP00000378669	0	0	0	0	0	88	62	0	157	0	0	0	0	215	ARF5	ALDOA
9606.ENSP00000000233	9606.ENSP00000443246	0	0	0	0	0	0	62	0	0	0	0	0	139	157	ARF5	ENSG00000255730
9606.ENSP00000000233	9606.ENSP00000377086	0	56	0	0	0	0	51	0	177	0	0	0	58	212	ARF5	LONRF2
9606.ENSP00000000233	9606.ENSP00000272238	0	0	0	0	0	0	62	0	148	0	0	0	0	166	ARF5	ATP6V1C2
